-6.28319 -0.342073 0.0994693 
-6.27019 -0.345311 0.0883159 
-6.25719 -0.348183 0.077069 
-6.24419 -0.350686 0.0657406 
-6.23119 -0.35282 0.0543428 
-6.21819 -0.354582 0.0428878 
-6.20519 -0.355971 0.0313877 
-6.19219 -0.356987 0.0198547 
-6.17919 -0.35763 0.00830093 
-6.16619 -0.357899 -0.00326152 
-6.15319 -0.357795 -0.0148206 
-6.14019 -0.357319 -0.0263642 
-6.12719 -0.356473 -0.0378805 
-6.11419 -0.355257 -0.0493576 
-6.10119 -0.353674 -0.0607837 
-6.08819 -0.351727 -0.0721471 
-6.07519 -0.349418 -0.0834363 
-6.06219 -0.34675 -0.0946399 
-6.04919 -0.343726 -0.105746 
-6.03619 -0.340352 -0.116745 
-6.02319 -0.33663 -0.127624 
-6.01019 -0.332566 -0.138374 
-5.99719 -0.328164 -0.148983 
-5.98419 -0.323429 -0.159441 
-5.97119 -0.318367 -0.169738 
-5.95819 -0.312984 -0.179863 
-5.94519 -0.307286 -0.189808 
-5.93219 -0.301279 -0.199561 
-5.91919 -0.29497 -0.209115 
-5.90619 -0.288366 -0.21846 
-5.89319 -0.281475 -0.227586 
-5.88019 -0.274303 -0.236486 
-5.86719 -0.266858 -0.245151 
-5.85419 -0.259149 -0.253573 
-5.84119 -0.251183 -0.261744 
-5.82819 -0.24297 -0.269656 
-5.81519 -0.234517 -0.277303 
-5.80219 -0.225834 -0.284678 
-5.78919 -0.216929 -0.291773 
-5.77619 -0.207812 -0.298583 
-5.76319 -0.198492 -0.305102 
-5.75019 -0.188979 -0.311323 
-5.73719 -0.179282 -0.317242 
-5.72419 -0.169412 -0.322853 
-5.71119 -0.159377 -0.328152 
-5.69819 -0.149189 -0.333135 
-5.68519 -0.138857 -0.337796 
-5.67219 -0.128392 -0.342133 
-5.65919 -0.117803 -0.346142 
-5.64619 -0.107102 -0.34982 
-5.63319 -0.0962992 -0.353164 
-5.62019 -0.0854043 -0.356173 
-5.60719 -0.0744283 -0.358842 
-5.59419 -0.0633817 -0.361172 
-5.58119 -0.0522752 -0.363161 
-5.56819 -0.0411194 -0.364806 
-5.55519 -0.029925 -0.366109 
-5.54219 -0.0187024 -0.367068 
-5.52919 -0.00746229 -0.367683 
-5.51619 0.00378479 -0.367955 
-5.50319 0.0150283 -0.367883 
-5.49019 0.0262579 -0.36747 
-5.47719 0.0374631 -0.366715 
-5.46419 0.0486337 -0.365621 
-5.45119 0.0597593 -0.36419 
-5.43819 0.0708299 -0.362423 
-5.42519 0.0818355 -0.360323 
-5.41219 0.0927659 -0.357892 
-5.39919 0.103612 -0.355135 
-5.38619 0.114363 -0.352053 
-5.37319 0.12501 -0.348651 
-5.36019 0.135543 -0.344932 
-5.34719 0.145954 -0.340901 
-5.33419 0.156233 -0.336562 
-5.32119 0.166371 -0.331919 
-5.30819 0.176359 -0.326978 
-5.29519 0.18619 -0.321744 
-5.28219 0.195853 -0.316221 
-5.26919 0.205342 -0.310417 
-5.25619 0.214648 -0.304336 
-5.24319 0.223764 -0.297985 
-5.23019 0.232681 -0.291369 
-5.21719 0.241392 -0.284496 
-5.20419 0.249891 -0.277373 
-5.19119 0.25817 -0.270005 
-5.17819 0.266222 -0.262401 
-5.16519 0.274041 -0.254567 
-5.15219 0.281622 -0.24651 
-5.13919 0.288957 -0.238239 
-5.12619 0.296041 -0.229762 
-5.11319 0.302868 -0.221085 
-5.10019 0.309434 -0.212217 
-5.08719 0.315734 -0.203166 
-5.07419 0.321761 -0.193941 
-5.06119 0.327513 -0.184549 
-5.04819 0.332985 -0.174999 
-5.03519 0.338173 -0.1653 
-5.02219 0.343073 -0.155461 
-5.00919 0.347682 -0.145489 
-4.99619 0.351996 -0.135395 
-4.98319 0.356014 -0.125186 
-4.97019 0.359731 -0.114871 
-4.95719 0.363147 -0.104461 
-4.94419 0.366258 -0.0939621 
-4.93119 0.369063 -0.0833853 
-4.91819 0.371561 -0.0727389 
-4.90519 0.37375 -0.062032 
-4.89219 0.375629 -0.0512738 
-4.87919 0.377197 -0.0404731 
-4.86619 0.378455 -0.0296391 
-4.85319 0.379401 -0.0187807 
-4.84019 0.380036 -0.00790687 
-4.82719 0.38036 0.00297341 
-4.81419 0.380374 0.0138513 
-4.80119 0.380079 0.0247179 
-4.78819 0.379475 0.0355644 
-4.77519 0.378564 0.0463822 
-4.76219 0.377348 0.0571625 
-4.74919 0.375828 0.0678969 
-4.73619 0.374006 0.0785768 
-4.72319 0.371885 0.0891937 
-4.71019 0.369467 0.0997395 
-4.69719 0.366756 0.110206 
-4.68419 0.363752 0.120585 
-4.67119 0.360462 0.130868 
-4.65819 0.356886 0.141049 
-4.64519 0.35303 0.151118 
-4.63219 0.348896 0.161068 
-4.61919 0.344489 0.170893 
-4.60619 0.339814 0.180584 
-4.59319 0.334874 0.190134 
-4.58019 0.329674 0.199537 
-4.56719 0.324218 0.208786 
-4.55419 0.318513 0.217873 
-4.54119 0.312562 0.226793 
-4.52819 0.306372 0.235538 
-4.51519 0.299947 0.244104 
-4.50219 0.293293 0.252483 
-4.48919 0.286416 0.26067 
-4.47619 0.279322 0.268659 
-4.46319 0.272017 0.276445 
-4.45019 0.264506 0.284023 
-4.43719 0.256797 0.291387 
-4.42419 0.248895 0.298532 
-4.41119 0.240806 0.305455 
-4.39819 0.232539 0.312149 
-4.38519 0.224098 0.318612 
-4.37219 0.215491 0.324838 
-4.35919 0.206726 0.330825 
-4.34619 0.197808 0.336568 
-4.33319 0.188744 0.342063 
-4.32019 0.179542 0.347308 
